time,lat,lng,height
2015-08-20T03:54:24.813Z,32.513433,35.012471,101.5999984741211
2015-08-20T03:54:25.692Z,32.513426,35.012445,100.9000015258789
2015-08-20T03:54:28.783Z,32.513402,35.012367,100.0999984741211
2015-08-20T03:54:29.687Z,32.513394,35.012338,99.19999694824219
2015-08-20T03:54:32.827Z,32.513355,35.01226,99.5
2015-08-20T03:54:33.691Z,32.51334,35.012236,99.4000015258789
2015-08-20T03:54:36.774Z,32.513301,35.012159,98.30000305175781
2015-08-20T03:54:37.686Z,32.513288,35.012135,96.69999694824219
2015-08-20T03:54:40.787Z,32.513249,35.012063,95.19999694824219
2015-08-20T03:54:41.686Z,32.513237,35.012037,95.0
2015-08-20T03:54:44.769Z,32.513199,35.011961,94.69999694824219
2015-08-20T03:54:45.688Z,32.513184,35.011937,95.19999694824219
2015-08-20T03:54:48.745Z,32.51314,35.011868,93.30000305175781
2015-08-20T03:54:49.689Z,32.513126,35.011844,93.19999694824219
2015-08-20T03:54:52.757Z,32.513097,35.011766,92.5
2015-08-20T03:54:53.684Z,32.513088,35.011741,91.4000015258789
2015-08-20T03:54:57.781Z,32.513055,35.011644,91.19999694824219
2015-08-20T03:54:58.688Z,32.513048,35.011618,90.9000015258789
2015-08-20T03:55:01.904Z,32.513024,35.011538,90.69999694824219
2015-08-20T03:55:02.695Z,32.513016,35.01151,91.0
2015-08-20T03:55:05.766Z,32.512991,35.011432,90.0
2015-08-20T03:55:06.696Z,32.512982,35.011409,88.9000015258789
2015-08-20T03:55:10.766Z,32.512965,35.01131,88.0
2015-08-20T03:55:11.690Z,32.512962,35.011284,88.0999984741211
2015-08-20T03:55:14.787Z,32.512944,35.011205,87.9000015258789
2015-08-20T03:55:15.692Z,32.512936,35.011179,87.80000305175781
2015-08-20T03:55:18.789Z,32.512908,35.0111,86.80000305175781
2015-08-20T03:55:19.724Z,32.512897,35.011073,87.69999694824219
2015-08-20T03:55:22.747Z,32.512862,35.010991,88.0
2015-08-20T03:55:23.801Z,32.51285,35.010963,88.30000305175781
2015-08-20T03:55:26.824Z,32.51282,35.010873,88.0999984741211
2015-08-20T03:55:27.730Z,32.51281,35.010844,87.30000305175781
